id,title,url,description,adress,rating,created,updated
,ABC Genomics (India) Pvt. Ltd,"http://www.abcgenomics.com


","AquaBioChip Genomics (India) Pvt. Ltd. aims to make high-end and sophisticated genetic marker-based screening tools accessible worldwide at a price that matches with the economy and health-related needs of developing nations. The focus of ABC Genomics is on low cost tools that are specifically suited for the Indian market. Through its technology transfer and educational component, ABC Genomics also aims to produce highly trained human resource critically needed throughput the nation",,,NOW(),NOW()
,ARA Healthcare Pvt Ltd,http://www.arahc.com,The company is engaged in development of biotherapeutics and molecular assays for diagnostics.,,,NOW(),NOW()
,Aris Global,http://www.arisglobal.com,"R & D; The company provides a suite of software products for the pharma industry in areas including drug safety, regulatory compliance, clinical trial applications and medical communications",,,NOW(),NOW()
,Aristogene Biosciences,http://www.aristogene.com,"Industrial Training, R&D, Manufacturing and Contract Research. Teaching Kits",,,NOW(),NOW()
,Arjuna Natural Extracts Ltd,http://www.arjunanatural.com,Manufacture; Extraction of medicine from herbs.Contract manufacturing.,,,NOW(),NOW()
,Arun & Co.,http://www.arunandco.com,"Enzymes formulations for textile & feed additives. Marketing; Marketing of industrial enzymes, textile auxillaries, chemicals & feed additives, probiotics, prebiotics.",,,NOW(),NOW()
,Arvind Remedies Ltd ,http://www.arvindremedies.com,"Manufacture,R & D, Marketing; Preparation of nutritional supplements and vitamins.",,,NOW(),NOW()
,Ashco Niulab Industries Ltd.,http://www.ashconiulab.com,"R & D; Services provided are bioavailability & bioequivalence trials, protocol preparation and study design, clinical and bioanalytical services.The center is having a clinical pharmacological unit and a bioanalytical department.",,,NOW(),NOW()
,Asian Clinical Trials Ltd,http://www.act-india.com,"R & D; An organisation offering services to both national and multinational, pharmaceutical, biotechnology and medical device companies.",,,NOW(),NOW()
,Asiatic Clinical Research,http://www.asiaticlinical.com,Clinical Trial,,,NOW(),NOW()
,Astra Zeneca India Pvt Ltd,http://www.astrazeneca.com,"Manufacture, R & D, Marketing; Provides a range of products in area of healthcare - gastrointestinal, cardiovascular, cancer, respiratory, neurosciences and infection. Discovery of therapeutics for treatment of infectious diseases, diagnosis and prophylactics for diseases affecting a large population.Established the Global Process R & D lab in 2007.",,,NOW(),NOW()
,Atharva Biosciences Pvt Ltd,http://www.atharvabiosciences.com,"R & D,Marketing; A company offering quantitative viral and bacterial load assays for various infectious organisms.  Clinical Molecular Diagnostic Laboratory  has introduced a number of diagnostic tests .Research & Development Laboratory is working on Loop Mediated isothermal AMPlification (LAMP) and use of nanotechnology in rapid diagnostics.",,,NOW(),NOW()
,"Atharva Lifesciences Consulting Pvt. Ltd.
",http://www.atharvalife.com,Dedicated to providing pharmaceutical and biopharmaceutical clients with fact-based analysis and business intelligence to meet market challenges in today’s highly competitive global environment.,,,NOW(),NOW()
,Aumgene Biosciences Pvt. Ltd,http://www.aumgene.com,"    *  Screening and isolation of novel microorganisms for production of,
          o Industrial Enzymes (Mesophilic and Thermotolerant enzymes with wide pH range)
          o Speciality Enzymes
          o Biofertilizers & Biopesticides
          o Prebiotics & Probiotics
          o Decomposition of lignocellulosic waste for ethanol production.
    * Use of molecular biology tools for genotyping and strain development.
    * Molecular cloning for development of recombinant strains for therapeutic and non-therapeutic proteins.
    * Bioprocess Development and Scale-up of fermentation and downstream process.
    * Formulation and application testing of Enzymes, Proteins, Biofertilizers & Probiotics.
",,,NOW(),NOW()
,Aureole Technologies Pvt Ltd.,http://www.aureoleinc.com,"To develop, design, innovative applications customizing hardware and software needs.",,,NOW(),NOW()
,"Aurigene Discovery Technologies Limited
",http://www.aurigene.com,"R & D; Provides products and contract research  services related to structural biology, structure based drug design and medicinal chemistry. Drug design and lead optimization for novel and known protein targets of therapeutic interest.",,,NOW(),NOW()
,Auroprobe Laboratories,http://www.auroprobelabs.com,"R & D, Consultancy; Research and development: standardizing molecular diagnostic assays and developing inhouse protocols, new assay and kits eg :molecular diagnostic assays for Leishmania and dengue fever, undertaking contract research including clinical trials.  PCR assay kits developed for: Indian Strains of Mycobacterium tuberculosis currently used at molecular diagnostic testing facility of Auroprobe Laboratories, Hepatitis B Virus-technology transferred to J. Mitra & Co. Ltd., HSV-1 &2, 
HLA B-27, Trichomonas vaginalis PCR currently being  used at molecular diagnostic testing division.",,,NOW(),NOW()
,Automed Systems Private Ltd,http://www.automedsystems.com,"Marketing,Consultancy; Provides equipment for life science and drug discovery.Calibration and validation services.",,,NOW(),NOW()
,Aventis Pharma Ltd,http://www.sanofi-aventis.in,"Manufacture, Marketing; Manufacturing and marketing of medicines for the treatment of patients in several therapeutic areas:    cardiovascular disease, thrombotic diseases, metabolic disorders, oncology, disorders of the central 
 nervous system, internal medicine and vaccines.",,,NOW(),NOW()
,Avesthagen Limited,"http://www.avesthagen.com
","Manufacturing of biopharma, bioactivesLarge scale genomics, transcriptomics,proteomics, metabolomic studies. Cancer Stem Cells colloboration.",,,NOW(),NOW()
,Avigna Chemitech Pvt. Ltd,http://www.avignapharma.com,"Involved in the business of pharmaceuticals and chemicals. It manufactures a variety of API, intermediates for drugs, intermediates for fine and specialty chemicals as well as a variety of chemicals for Research under secrecy agreements Agrochemical formulation & Pharmaceutical formulation",,,NOW(),NOW()
,Avon Organics Ltd,http://www.avonorganicsltd.com,"Manufacture,R & D,Marketing; Fermentation. Fermentation activity increased by 11%. Reduction in catalyst by 50%.",,,NOW(),NOW()
,Avra Laboratories Pvt Ltd ,http://www.avralab.com,"R & D; Provides science based technical services, process technologies and synthesis of new chemical entities (NCEs).",,,NOW(),NOW()
,AVT Biotech,http://www.avtbiotech.com,"Manufacture, R & D, Marketing; Production of tissue cultured varieties",,,NOW(),NOW()
,Axiom Biotek INC,http://www.axiombiotek.com ,Supplier and Service provider,,,NOW(),NOW()
,Axis Diagnostics & Biotech Ltd,http://www.adbl.net,"Manufacture,R & D; Manufacturing and marketing of diagnostic kits and reagents including ELISA Rapid Card Tests, immuno-chromatographic tests, clinical chemistry, serology range and blood grouping range.",,,NOW(),NOW()
,Axygen Scientific Pvt Ltd,"http://www.axygen.com

","Marketing; Marketing of laboratory consumables for researchers in the pharmaceutical, biotech and academia communities.",,,NOW(),NOW()
,"Ayan India Distribution Private Limited
[new company under incorporation – MCA SRN A75319707]
",NA,Production of health foods,,,NOW(),NOW()
,Ayushi Biotech,http://www.ayushi.20m.com,"R & D; Development of drugs like anti-HIV, anti malarials, anti addiction, drugs for liver cirrhosis  and anti oxidants. Research for development of new drugs; collaboration with WHO, Geneva for anti malarial drug research under DDR/TDR programmes.",,,NOW(),NOW()
,Azadi Bio Science Pvt. Ltd,"http://www.azadibio-science.com

","innovative products in seeds.  
",,,NOW(),NOW()
,BACFO Pharmaceuticals India Limited,http://www.bacfo.com,Manufacture; Manufacturer of pharmaceuticals and herbal supplements.,,,NOW(),NOW()
,Bacto Agro Culture Care Pvt Ltd,"http://www.bactonature.com
","Manufacture,R & D,Marketing,Consultancy; Manufacturing of biofertilizers & biocontrol agents. Development of EM technology and organic fertilizers.",,,NOW(),NOW()
,Bafna Pharmaceuticals,http://www.bafnapharma.com ,"Research & Development Centre / CRAMS, Custom Pharmaceutical Services & Solutions (CPSS)",,,NOW(),NOW()
,Bangalore Genei Pvt Ltd,http://www.bangaloregenei.com,"Manufacture, R & D, Marketing; Manufacturing and marketing of reagents, enzymes, antibodies, oligonucleotides, equipment used in life science / biotechnology research. Product development of new research reagents, research kits, identification of new restriction enzymes, cloning and expression of enzymes, monoclonal antibodies and new cell biology products.Custom Services provided.",,,NOW(),NOW()
,Basarass Biocon (India) Pvt Ltd,http://www.basarass.com,"Manufacture, R & D, Marketing; Manufacturing and marketing of biopesticides and biofertilizers. Increasing the shelf life of biopesticides, identification of new potential microbial biopesticides, development of mass production techniques for new microbes.",,,NOW(),NOW()
,Baxter (India) Private Limited,http://www.baxter.in,"Areas of expertise are - Areas of Expertise
Anesthesia
BioSurgery
Clinical Nutrition
Critical Care
Hemophilia
Infusion Systems
Pharmaceuticals & IV Solutions
Renal",,,NOW(),NOW()
,Bayer CropScience Ltd,http://www.bayercropscience.com,"Manufacture, Marketing, R & D; Manufacturing and marketing of biopesticides and growth stimulators.",,,NOW(),NOW()
,Bayer Diagnostics India Ltd.,http://www.bayergroupindia.com,Manufacture; Manufacturing  of medical diagnostic equipment.,,,NOW(),NOW()
,Beacon Diagnostics Pvt Ltd,http://www.beaconindia.com,Manufacture; Manufacturing of diagnostic reagents & kits. Diagnostic reagents & kits.,,,NOW(),NOW()
,Becton Dickinson India Pvt Ltd,http://www.bd.com,"Manufacture,Marketing; Innovative research and clinical tools to life scientists and clinicians which accelerate pace of biomedical discovery by enabling researchers to study cells and component of cells, to gain better understanding of normal and diseased process.",,,NOW(),NOW()
,Bejo Sheetal Seeds Pvt Ltd,http://www.bejosheetalseeds.com,R & D; Marketing the seeds in India and the SAARC countries. Genetic breeding of vegetables for hybrid production.Research and development for molecular markers and gene transformation.,,,NOW(),NOW()
,Bela Instruments,http://www.belainstruments.com,"Manufacture, R & D, Marketing; Manufacturing and marketing of online/offline process instruments for liquid quality analysis and control of parameters such as pH/ORP, conductivity, concentration and turbidity.",,,NOW(),NOW()
,Bench Bio Private Limited ,http://www.benchbio.com,"Bench Bio Pvt Ltd. develops, produces and markets high quality seeds of all major crops that are used for food, feed and non- food uses BenchBio Pvt Ltd is a science driven start- up company with strong links to European labs. The company’s core non- transgenic  technology platform has been licensed from INRA, France. It provides biotechnology solutions to agricultural problem worldwide. The company has advanced biotechnology lab facilities  as well as state of the art air- conditioned glasshouse and field sites. It has strengths in  molecular biology, breeding, bioinformatics and biochemistry. It is actively participating in R&D projects with academic groups in India and EU. 

",,,NOW(),NOW()
,Best Biotek Research Labs Pvt Ltd,http://www.bestbiotek.com,"Laboratories for protein purification, tissue culture, microbiology, immunotechnology, biophysical chemistry where PCR amplification, genetic engineering, raising polyclonal antibodies purification and detection of antibodies, pregnancy kits, HPLC and GLC analysis are carried out. R & D, Consultancy; The company is engaged in the field of bioservices, training, consultancy and contract research.",,,NOW(),NOW()
,Bharat Biotech International Ltd,http://www.bharatbiotech.com,"Manufacture, R & D, Marketing, Consultancy; Manufacture and marketing of vaccines, biotherapeutics and probiotics. Development of better vaccines, biopharmaceuticals and antibiotics.",,,NOW(),NOW()
,Bharat Immunologicals and Biologicals Corporation Ltd (BIBCOL),http://www.bibcol.com,"Technology development for Hepatitis B vaccine, recombinant-BCG and measles vaccine. Manufacture,R & D; Large-scale manufacturing of Oral Polio Vaccine (OPV) through formulation of bulk imported from WHO certified organizations abroad; supply of GMP standard Oral Polio Vaccine to the National Immunization Program as well as international agencies like UNICEF on a case to case basis;modification of processes and/or infrastructure for vaccine production, as per WHO mandates on time to time basis",,,NOW(),NOW()
,Bharat Petroleum Corporation Ltd.,http://www.bharatpetroleum.in,"Advanced Technical support to Refinery and Marketing SBUs
?      Crude & Residue up gradation 
?      Bio-fuels
?      Product /Process development
?      Alternate Energy Technologies/systems
",,,NOW(),NOW()
,Bharat Serums and Vaccines Ltd,http://www.bharatserums.com,"Manufacture, R & D, Marketing; Recombinant therapeutics, genetic engineering, process development and scale up. Developing non infringing/ superior Novel Drug Delivery Systems and use of emerging tools of biotechnology for new products- recombinant  monoclonal antibodies.",,,NOW(),NOW()
,Bhat Biotech India (P) Ltd,"http://www.bhatbiotech.com
http://www.glucoscan.net","Manufacture, R & D, Marketing; Manufacturing and marketing of diagnostic kits for HIV, hepatitis, pregnancy and other biochemical assays. Design and development of equipment used in diagnostics. Contract research, original equipment and contract manufacturing. Development of PCR based kits for infectious diseases, diagnostic kits for TB, malaria, cancer markers, biotechnology based pharmaceutical products.",,,NOW(),NOW()
,Bhawalkar Ecological Research Institute/ Bhawalkar Vermitech Pvt Ltd,NA," Manufacture,R & D,Marketing,Consultancy; Development of new biotechnology products Waste treatment without production of sludge, leachate  or greenhouse gases and without any recurring inputs of chemicals, electricity or manpower.",,,NOW(),NOW()
,BI Biotech India Pvt Ltd,http://www.biotechindia.com,"Marketing; Marketing of research reagents and equipment. The company has a warehouse facility for perishable reagents like ELISA kits, recombinant proteins, primary and secondary antibodies, gene array, siRNA products, transfection reagents etc.",,,NOW(),NOW()
,Bigtec Labs ,http://www.bigteclabs.com,"R & D; Provides software applications to pharma and biotech research companies to help enhance their product development. Solutions for analytical lab, clinical (phase 1-4) and pre-clinical trials, drug discovery and formulation research. Drug synthesis research: comprehensive lab e-notebooks that help plan, conduct, capture and analyze the entire process of synthetic research. Ability to draw chemical structures and reactions,search chemical compounds and chemical structure etc.",,,NOW(),NOW()
,Bio Mantra,http://www.biomantra.com,"R & D; Biomantra is a custom service provider in the area of bioinformatics, specifically for research organizations in the biotechnology and pharmaceutical domains.",,,NOW(),NOW()
,Bio Med (P) Ltd,http://www.biomed.co.in,"Manufacture, R & D, Marketing; Development and manufacturing of vaccines.Development of vaccines for humans.",,,NOW(),NOW()
,BioArc Research Solutions,"http://www.bioarcresearch.com

","R & D,Consultancy; A contract research services organization providing a wide range of services to global research based pharmaceutical and biotech companies.",,,NOW(),NOW()
,Bioasset Technologies Private Limited,"http://www.bioassetequipments.in

","Consultancy, R &D, Marketing",,,NOW(),NOW()
,"BIOCARE RESEARCH (INDIA) PVT LTD.,
",http://www.biocareindia.com,"Clinical laboratory tests as well as industrial testing. Also offer services for contract research, clinical trials, industrial R & D on a turnkey basis.",,,NOW(),NOW()
,BioCin  Bioproducts Pvt Ltd,"http://www.biocin.com


","Manufacture, R & D, Marketing; Development of diagnostic products and
research tools/reagents.",,,NOW(),NOW()
,Biocon Ltd,http://www.biocon.com,"Manufacture, R & D, Marketing; Focused on custom research, clinical research and enzymes through its two subsidiaries i.e. Syngene International Private Limited which provides chemistry and molecular-based custom research services in early stage drug discovery and development and Clinigene International Private Limited which conducts longitudinal research in diabetes and offers a wide range of comprehensive services in drug development and clinical trials.  The research  spans bioprocess development, gene expression technologies, secondary metabolites, bioconversions and proteomics. Multiple expertise is being leveraged to leading-edge recombinant biopharmaceuticals and human therapeutics.",,,NOW(),NOW()
,"Pest Control (India) Pvt. Ltd.
",http://www.pcilindia.com,"Manufacture, R & D, Marketing; Research, production, field trials and commercialisation of biopesticides and pheromones for management of  agricultural crop pests.Development of technologies for commercial scale production and formulation of bio-pesticides and insect sex pheromones.",,,NOW(),NOW()
,BioCOS Life Sciences Private Limited,http://www.biocosls.com,"? BioCOS aims to be among leading Bioinformatics Company for building and delivering algorithmic solutions to extract and discover innovations from high throughput OMICS data and imaging based life sciences. 

? Developing novel and efficient technologies to analyze, mine, and integrate multidimensional data (i.e., transcriptomics & proteomics) to aid disease diagnosis and drug discovery research in pharma companies and research organizations. 
? To be a leader in developing chip embedded computing technologies to analyze large scale image data to enable quick applications in life and medical sciences. 

? Leader in developing softwares for multidimensional cellular and molecular images (like immuno histochemistry cellular images, MALDI- protein and small molecular profiling images) to aid drug and biomarker discovery research. 
? To be an interface between academia-industry research partnerships through developing patentable innovative technologies to facilitate translational research in above mentioned areas.
",,,NOW(),NOW()
